Chinese,English,Category,Novel,Notes
萧诚恩,Xiao Cheng'en,character_name,,Xiao family martial god
赵虎,Zhao Hu,character_name,,Zhao family eldest grandson (Zhao Tiger)
鬼枭,Ghost Owl,character_name,,Divine Court assassin (Meridian Opening 5th level)
影刃,Shadow Blade,character_name,,Divine Court assassin (Meridian Opening 3rd level)
黑风谷,Black Wind Valley,location,,Forbidden zone in the wilderness
云顶山庄,Cloud Summit Manor,location,,Venue for National Finals
荒野狩猎,Wilderness Hunt,event,,Annual prodigy hunting competition
天工图解,Celestial Craft Illustrated,item,,Heaven-rank artifact refining manual
九龙镜,Nine Dragon Mirror,item,,Artifact refined by Chen Ruoxi
裂风刀,Wind Ripper,item,,Chen Yu's Profound-Rank war saber
冷月鞭,Cold Moon Whip,item,,Song Yao's chain blade weapon
九窍净心果,Nine-Aperture Heart-Clearing Fruit,item,,Rare spirit fruit
玄龙赤血丹,Mystic Dragon Scarlet Blood Pill,item,,Medicinal pill
破魔灵盘,Demon-Breaking Spirit Disc,item,,Artifact item
猛虎下山,Fierce Tiger Descends the Mountain,technique,,Zhao Hu's attack technique
三尺冰,Three Feet of Ice,technique,,Gu Ningxue's ice defense technique
疾风斩,Gale Slash,technique,,Chen Yu's saber technique
四象锁天阵,Four Symbols Heaven-Lock Formation,technique,,Liu family formation
冰凰舞,Ice Phoenix Dance,technique,,Gu Ningxue's phoenix technique
冥血祭,Nether Blood Sacrifice,technique,,Divine Court soul-burning forbidden technique
冥神爪,Nether God Claw,technique,,Divine Court killing technique
鲲鹏逍遥步,Kunpeng Wandering Step,technique,,Lin Yuan's void-stepping movement technique
紫天神雷,Purple Heaven Divine Thunder,technique,,Lin Yuan's lightning technique
惊鸿幻步,Startled Swan Phantom Steps,technique,,Movement technique
缩地成寸,Shrink the Earth to Inches,technique,,Spatial movement technique
永世季梦大阵,Grand Dream of Eternal Seasons,technique,,High-rank formation
风兔,Wind Rabbit,creature,,First-tier demonic beast
赤焰狼,Scarlet Flame Wolf,creature,,Second-tier demonic beast
裂地魔熊,Earth-Rending Demon Bear,creature,,Third-tier demonic beast
法则之力,Law Power,cultivation_term,,Higher-level energy type
柳玄宸,Liu Xuanchen,character_name,,Liu family old War God and Martial God
上官惊鸿,Shangguan Jinghong,character_name,,Flying Moon Sword God - youngest Martial God in Dragon Xia
铁狂,Tie Kuang,character_name,,Mountain-Swallowing Martial God - known for strength and defense
赵天龙,Zhao Tianlong,character_name,,Western District Commander
王俊义,Wang Junyi,character_name,,Regional Commander under Lin Jianguo
陈北玄,Chen Beixuan,character_name,,Regional Commander under Lin Jianguo
李默,Li Mo,character_name,,Regional Commander under Lin Jianguo
飞月剑神,Flying Moon Sword God,title,,Shangguan Jinghong's title
吞岳武神,Mountain-Swallowing Martial God,title,,Tie Kuang's title
凶煞血龙,Baleful Blood Dragon,creature,,Terrifying dragon summoned by Divine Court sacrifice
禁神丹,Divine Prohibition Pill,item,,Divine Court forbidden pill that burns potential for power
陸野,Lu Ye,character_name,,Nine Lives Celestial Venerable - protagonist of Betrayed by Eight Empresses
九命天尊,Nine Lives Celestial Venerable,title,,Lu Ye's title
上官幻靈,Shangguan Huanling,character_name,,Phantom Spirit Empress - one of the eight empresses
幻靈女帝,Phantom Spirit Empress,title,,Shangguan Huanling's title
古今天尊,Ancient-Modern Celestial Venerable,character_name,,Supreme being of the previous era
古今鏡,Ancient-Modern Mirror,item,,Mirror that reflects past and future and severs time/karma
九命不死天經,Nine Lives Immortal Scripture,technique,,Lu Ye's cultivation method granting nine lives
陰陽噬道蠱,Yin-Yang Dao-Devouring Gu,creature,,Parasitic Gu that devours the Great Dao - planted during intimacy
黑暗之源,Source of Darkness,creature,,Dark entity threatening the Nine Heavens
墮天釘,Heaven-Falling Nail,item,,Torture implement
證道,Proving the Dao,cultivation_term,,Process of ascending to become a Saint
成聖大劫,Saint Tribulation,cultivation_term,,Tribulation to become a Saint
萬古大劫,Primordial Tribulation,cultivation_term,,Most difficult tribulation - fighting all past tribulation takers
天尊器,Celestial Venerable Artifact,item,,Weapon forged by a Celestial Venerable
萧正,Xiao Zheng,character_name,,Third Corps Commander of Northern Guard Legion
赵烈,Zhao Lie,character_name,,Marshal of Dragon Xia Nation's military
秦风,Qin Feng,character_name,Hospital Sign In,Director of Transplant Center at Municipal First Hospital
柳烟儿,Liu Yan'er,character_name,Hospital Sign In,Qin Feng's romantic interest
魏小霞,Wei Xiaoxia,character_name,Hospital Sign In,13-year-old leukemia patient also called Xiaoxia
叶知秋,Ye Zhiqiu,character_name,Hospital Sign In,Attending physician at Transplant Center
陈副主任,Deputy Director Chen,character_name,Hospital Sign In,Hospital administrator
江城,Jiang City,location,Hospital Sign In,City where Municipal First Hospital is located
彭城,Peng City,location,Hospital Sign In,Neighboring city to Jiang City
厂西省,Changxi Province,location,Hospital Sign In,Province where Xiaoxia's hometown is located
桂州,Guizhou,location,Hospital Sign In,City in Changxi Province - Xiaoxia's hometown
市一院,Municipal First Hospital,organization,Hospital Sign In,Main hospital setting
移植中心,Transplant Center,organization,Hospital Sign In,Department headed by Qin Feng
白血病,Leukemia,medical_term,Hospital Sign In,Blood cancer affecting Xiaoxia
骨髓移植,Bone Marrow Transplant,medical_term,Hospital Sign In,Treatment procedure for leukemia
化疗,Chemotherapy,medical_term,Hospital Sign In,Cancer treatment
骨髓穿刺,Bone Marrow Biopsy,medical_term,Hospital Sign In,Diagnostic procedure
干细胞库,Stem Cell Bank,organization,Hospital Sign In,Repository for stem cell matching
郑奎,Zheng Kui,character_name,Hospital Sign In,Deputy Director of Jiang City Police
林晓晓,Lin Xiaoxiao,character_name,Hospital Sign In,Employee at Qin Medical Foundation
秦氏医疗基金会,Qin Medical Foundation,organization,Hospital Sign In,Powerful charitable foundation backing Qin Feng
张桐,Zhang Tong,character_name,Hospital Sign In,Hospital Director of Municipal First Hospital
季忠河,Ji Zhonghe,character_name,Hospital Sign In,Director of Hematology at Municipal First Hospital
唐丹丹,Tang Dandan,character_name,Hospital Sign In,Deputy Director of Transplant Center
刘副院长,Deputy Director Liu,character_name,Hospital Sign In,Hospital administrator at Municipal First Hospital
徽州,Huizhou,location,Hospital Sign In,City where trafficking victim was stolen
陈元芳,Chen Yuanfang,character_name,Hospital Sign In,Liu Yan'er's mother
柳峥,Liu Zheng,character_name,Hospital Sign In,Liu Yan'er's father
沈园,Shen Yuan,character_name,Hospital Sign In,Qin Feng's classmate and class monitor
刘健,Liu Jian,character_name,Hospital Sign In,Qin Feng's classmate
陈东,Chen Dong,character_name,Hospital Sign In,Qin Feng's classmate and employee at foundation
尚小军,Shang Xiaojun,character_name,Hospital Sign In,Qin Feng's classmate
赵崇南,Zhao Chongnan,character_name,Hospital Sign In,Qin Feng's classmate
张帆,Zhang Fan,character_name,Hospital Sign In,Director of Cardiothoracic Surgery
曹珂,Cao Ke,character_name,Hospital Sign In,Deputy Director of Cardiothoracic Surgery
许莹莹,Xu Yingying,character_name,Hospital Sign In,Doctor in OB/GYN department
孙胜,Sun Sheng,character_name,Hospital Sign In,Director of Internal Medicine
程洪武,Cheng Hongwu,character_name,Hospital Sign In,Director of Internal Medicine
章晨,Zhang Chen,character_name,Hospital Sign In,Internal Medicine doctor
金陵,Jinling,location,Hospital Sign In,City where Qin Feng's research center is located
赵一天,Zhao Yitian,character_name,Hospital Sign In,Doctor on duty at Municipal First Hospital ER
冯娟,Feng Juan,character_name,Hospital Sign In,High school senior who attempted suicide after being blackmailed
孙涵,Sun Han,character_name,Hospital Sign In,Feng Juan's abusive boyfriend who blackmailed her
孙大强,Sun Daqiang,character_name,Hospital Sign In,Sun Han's father - wealthy construction magnate
江城二中,Second High School,organization,Hospital Sign In,Jiang City Second High School
肖静,Xiao Jing,character_name,Hospital Sign In,ER doctor at Municipal First Hospital
天鸿律师事务所,Tianhong Law Firm,organization,Hospital Sign In,Top law firm from the capital
广川省,Guangchuan Province,location,Hospital Sign In,Province hosting the medical conference
苯二氮卓,Benzodiazepine,medical_term,Hospital Sign In,Class of sedative-hypnotic drugs
珠江,Zhujiang,location,Hospital Sign In,City in Guangchuan Province where medical conference is held
尼克,Nick,character_name,Hospital Sign In,Foreign student from Kenya who cuts in line at subway
三九胃泰,Sanjiu Weitai,medical_term,Hospital Sign In,Chinese stomach medicine brand
巩膜黄染,Scleral icterus,medical_term,Hospital Sign In,Yellow discoloration of eye whites indicating jaundice
胰腺癌,Pancreatic cancer,medical_term,Hospital Sign In,Cancer affecting the pancreas - known as king of cancers
高胆红素血症,Hyperbilirubinemia,medical_term,Hospital Sign In,Elevated bilirubin in blood causing jaundice
东大,Dongda University,organization,Hospital Sign In,Major university with foreign exchange program
珠江大学,Zhujiang University,organization,Hospital Sign In,University in Zhujiang city
齐东制药,Qidong Pharmaceutical,organization,Hospital Sign In,Major pharmaceutical company where Qin Feng is majority shareholder
恒率律师事务所,Henglü Law Firm,organization,Hospital Sign In,Top law firm in China - the KFC of legal circles
吴东华,Wu Donghua,character_name,Hospital Sign In,Chairman of Qidong Pharmaceutical
吕东兴,Lü Dongxing,character_name,Hospital Sign In,President of Dongda University
珠江医科大学,Zhujiang Medical University,organization,Hospital Sign In,Medical university in Zhujiang hosting the conference
恒瑞制药,Hengrui Pharmaceuticals,organization,Hospital Sign In,One of China's top pharmaceutical companies
石药集团,Shiyao Group,organization,Hospital Sign In,Major pharmaceutical company in China
乔昌平,Qiao Changping,character_name,Hospital Sign In,Famous industrialist from Jiang Province
陆云,Lu Yun,character_name,Hospital Sign In,Internal Medicine head nurse at Municipal First Hospital
暴发性心肌炎,Fulminant myocarditis,medical_term,Hospital Sign In,Severe acute inflammation of heart muscle
全科,General Practice,medical_term,Hospital Sign In,Medical specialty covering all basic diagnostic functions
葉塵,Ye Chen,character_name,Dual Cultivation,Protagonist with Many Blessings System
柳如煙,Liu Ruyan,character_name,Dual Cultivation,Sect Master of Blissful Union Sect
林清雪,Lin Qingxue,character_name,Dual Cultivation,Inner Sect Disciple assigned to Ye Chen
陸夢瑤,Lu Mengyao,character_name,Dual Cultivation,Inner Sect Disciple assigned to Ye Chen
江玉燕,Jiang Yuyan,character_name,Dual Cultivation,Vice Sect Master of Blissful Union Sect
葉青兒,Ye Qing'er,character_name,Dual Cultivation,Ye Chen's younger sister captured by Profound Heaven Holy Land
葉浩天,Ye Haotian,character_name,Dual Cultivation,Ye Chen's adoptive father murdered by Profound Heaven Holy Land
靈域,Spirit Domain,location,Dual Cultivation,Main world setting
南荒州,Southern Wilderness Province,location,Dual Cultivation,Region where Blissful Union Sect is located
江鄴城,Jiangye City,location,Dual Cultivation,City where Ye family was based
合歡宗,Blissful Union Sect,organization,Dual Cultivation,Dual cultivation sect - Ye Chen's sect
天魔宗,Heavenly Demon Sect,organization,Dual Cultivation,Enemy sect of Blissful Union Sect
玄天聖地,Profound Heaven Holy Land,organization,Dual Cultivation,One of five great powers hunting Ye Chen
多子多福系統,Many Blessings System,cultivation_term,Dual Cultivation,Ye Chen's system that rewards offspring production
猛男體魄,Vigorous Man Physique,cultivation_term,Dual Cultivation,System reward enhancing physical constitution
不滅腎魂,Imperishable Kidney Spirit,cultivation_term,Dual Cultivation,Part of Vigorous Man Physique - enhances stamina
極品築基丹,Supreme Foundation Establishment Pill,item,Dual Cultivation,Top-grade pill for Foundation Establishment breakthrough
黃品靈根,Yellow-Grade Spiritual Root,cultivation_term,Dual Cultivation,Lowest grade spiritual root
玄品靈根,Profound-Grade Spiritual Root,cultivation_term,Dual Cultivation,Second lowest grade spiritual root
地品靈根,Earth-Grade Spiritual Root,cultivation_term,Dual Cultivation,Mid-tier spiritual root
天品靈根,Heaven-Grade Spiritual Root,cultivation_term,Dual Cultivation,High-tier spiritual root
神品靈根,Divine-Grade Spiritual Root,cultivation_term,Dual Cultivation,Second highest grade spiritual root
上古極品靈根,Ancient Supreme Spiritual Root,cultivation_term,Dual Cultivation,Highest grade spiritual root
大帝境,Great Emperor,cultivation_realm,Dual Cultivation,Highest cultivation realm in Spirit Domain
蘇念婉,Su Nianwan,character_name,Dual Cultivation,Liu Ruyan's personal disciple with Earth-Grade Spiritual Root
李少陽,Li Shaoyang,character_name,Dual Cultivation,Young Master of Profound Heaven Holy Land - Ye Chen's enemy
張淑玉,Zhang Shuyu,character_name,Dual Cultivation,Ye Haotian's unfaithful wife who betrayed the Ye family
明月鏡,Bright Moon Mirror,item,Dual Cultivation,Immortal-Grade defensive artifact that blocks Soul Transformation attacks
天元丹,Heavenly Origin Pill,item,Dual Cultivation,Pill that enhances cultivation below Soul Transformation
生生不息丸,Endless Vitality Pill,item,Dual Cultivation,Pill that restores body to peak condition in 3 seconds
分身符,Clone Talisman,item,Dual Cultivation,Creates a clone with half the user's cultivation
凡品,Mortal Grade,cultivation_term,Dual Cultivation,Lowest artifact grade
寶品,Treasure Grade,cultivation_term,Dual Cultivation,Second lowest artifact grade
靈品,Spirit Grade,cultivation_term,Dual Cultivation,Mid-tier artifact grade
仙品,Immortal Grade,cultivation_term,Dual Cultivation,High-tier artifact grade
神品,Divine Grade,cultivation_term,Dual Cultivation,Second highest artifact grade
帝品,Imperial Grade,cultivation_term,Dual Cultivation,Highest artifact grade
飛羽劍,Flying Feather Sword,item,Dual Cultivation,Immortal-Grade weapon reward from dual cultivation
斬仙符,Immortal-Slaying Talisman,item,Dual Cultivation,Talisman with power comparable to Void Refining full strike
隱身符,Invisibility Talisman,item,Dual Cultivation,Talisman that grants invisibility for one shichen
尋人子母蠱,Tracking Mother-Child Gu,item,Dual Cultivation,Paired gu insects for tracking a target's location
驚雷符,Thunder Burst Talisman,item,Dual Cultivation,Talisman with power comparable to Nascent Soul full strike
培元丹,Cultivation Enhancement Pill,item,Dual Cultivation,Pill that enhances cultivation
清愈丹,Purifying Healing Pill,item,Dual Cultivation,Pill that heals all injuries to the body
護宗大陣,Sect Protection Grand Formation,technique,Dual Cultivation,Defensive formation protecting the sect
青陽鎮,Qingyang Town,location,Dual Cultivation,Small town at the foot of Blissful Union Sect mountain
萬靈盾,Ten-Thousand Spirits Shield,item,Dual Cultivation,Natal treasure defensive shield
傳送符,Teleportation Talisman,item,Dual Cultivation,Talisman allowing instant travel to any location within ten thousand li
結嬰丹,Core Formation Pill,item,Dual Cultivation,Pill that helps condense a Nascent Soul for breakthrough
九寶琉璃燈,Nine-Treasure Glazed Lamp,item,Dual Cultivation,Liu Ruyan's natal treasure - a defensive artifact
上官嫣然,Shangguan Yanran,character_name,Dual Cultivation,Grand Elder's great-great-granddaughter - spoiled inner disciple
上官天鴻,Shangguan Tianhong,character_name,Dual Cultivation,Grand Elder / Head of Supreme Elders at Blissful Union Sect
六道滅天指,Six Paths Heaven-Destroying Finger,technique,Dual Cultivation,Earth-Grade martial technique that condenses a golden finger to destroy enemies
高級傳送符,High-Grade Teleportation Talisman,item,Dual Cultivation,Talisman for emergency escape
高級分身符,Advanced Clone Talisman,item,Dual Cultivation,Creates 10 clones with 30% of host's cultivation - controlled by will
強身丹,Strength Enhancement Pill,item,Dual Cultivation,Pill that continuously restores vitality for 5 hours
驚雷符,Thunderclap Talisman,item,Dual Cultivation,Offensive thunder-based talisman
張妙音,Zhang Miaoyin,character_name,Dual Cultivation,Zhang family patriarch's daughter - killed by Ye Chen during his revenge
張漠北,Zhang Mobei,character_name,Dual Cultivation,Zhang family patriarch at Nascent Soul - killed by Ye Chen's Six Paths Heaven-Destroying Finger
許晴晴,Xu Qingqing,character_name,Dual Cultivation,Ye Chen's childhood fiancée from the Xu family
許家,Xu Family,organization,Dual Cultivation,Noble house of Jiangye City - Ye Chen's former in-laws through engagement
地火雷,Earth Fire Bomb,item,Dual Cultivation,Explosive sphere with power comparable to Peak Golden Core full strike
寂滅掌,Annihilation Palm,technique,Dual Cultivation,Zhang Mobei's powerful palm technique
烈火掌,Blazing Palm,technique,Dual Cultivation,Zhang family fire-based palm technique
趙靈兒,Zhao Ling'er,character_name,Dual Cultivation,Female disciple with Earth-Grade Spiritual Root - assigned to Ye Chen in wedding night ceremony
王雨萱,Wang Yuxuan,character_name,Dual Cultivation,Heavenly Demon Sect prodigy at Golden Core - captured by Blissful Union Sect
千羽宗,Thousand Feather Sect,organization,Dual Cultivation,Hostile sect from Southern Wasteland allied with Heavenly Demon Sect
靈水宗,Spirit Water Sect,organization,Dual Cultivation,Hostile sect from Southern Wasteland allied with Heavenly Demon Sect
碧水劍法,Azure Water Sword Art,technique,Dual Cultivation,Wang Yuxuan's water-based sword technique
萬魔掌,Myriad Demon Palm,technique,Dual Cultivation,Heavenly Demon Sect palm technique
落日劍訣,Setting Sun Sword Art,technique,Dual Cultivation,Sword technique used by Heavenly Demon Sect elder
劍靈符,Sword Spirit Talisman,item,Dual Cultivation,Advanced talisman with power comparable to Peak Body Integration full strike
強身丹,Strength Restoration Pill,item,Dual Cultivation,Pill that continuously restores energy for ten hours
培元丹,Cultivation Foundation Pill,item,Dual Cultivation,Pill that enhances cultivation foundation
钟青,Zhong Qing,character_name,10000x Return,Protagonist and Command Hall Peak Master
林峰,Lin Feng,character_name,10000x Return,Zhong Qing's first disciple with no cultivation talent
乃道人,Daoist Nai,character_name,10000x Return,Zhong Qing's late master
轩辕洪,Xuanyuan Hong,character_name,10000x Return,Sect Master of Immortal River Sect
段峰,Duan Feng,character_name,10000x Return,Divine Sword Peak Master - killed by Zhong Qing
苏问酒,Su Wenjiu,character_name,10000x Return,Prodigy from Dawn Mist Valley Holy Land
剑老,Sword Elder,character_name,10000x Return,Remnant soul in Lin Feng's Desolate Ring
仙江宗,Immortal River Sect,organization,10000x Return,Main sect in the Eastern Region
幕府峰,Command Hall Peak,location,10000x Return,Zhong Qing's peak in Immortal River Sect
神剑峰,Divine Sword Peak,location,10000x Return,Duan Feng's peak - strongest besides main peak
朝霞谷,Dawn Mist Valley,organization,10000x Return,Holy Land in the Eastern Region
荒戒,Desolate Ring,item,10000x Return,Lin Feng's storage ring containing Sword Elder's soul
墨刀,Ink Saber,item,10000x Return,Imperial-grade weapon given to Lin Feng by Zhong Qing
火舞,Fire Dance,item,10000x Return,Su Wenjiu's eighth-grade sword
废材羁绊,Trash Bond,cultivation_term,10000x Return,System bond activated by recruiting talentless disciples
老六光环,Low-Profile Aura,cultivation_term,10000x Return,Ability that hides cultivation level from others
辰玄境,Dawn Profound Realm,cultivation_realm,10000x Return,Fourth major cultivation realm
星玄境,Star Profound Realm,cultivation_realm,10000x Return,Fifth major cultivation realm
月玄境,Moon Profound Realm,cultivation_realm,10000x Return,Sixth major cultivation realm
日玄境,Sun Profound Realm,cultivation_realm,10000x Return,Seventh major cultivation realm
王级,King Grade,cultivation_term,10000x Return,Cultivation method grade above Ninth Grade
皇级,Emperor Grade,cultivation_term,10000x Return,Cultivation method grade above King Grade
尊级,Venerable Grade,cultivation_term,10000x Return,Cultivation method grade above Emperor Grade
帝级,Imperial Grade,cultivation_term,10000x Return,Highest cultivation method grade
大土木经,Great Earth-Wood Scripture,technique,10000x Return,Imperial-grade cultivation method - Lin Feng's primary practice
大荒芜经,Great Desolation Scripture,technique,10000x Return,Imperial-grade cultivation method
火皇经,Fire Emperor Scripture,technique,10000x Return,Imperial-grade cultivation method
苦海,Bitter Sea,location,10000x Return,Trap pond that traps cultivators in illusions
血狂,Xue Kuang,character_name,10000x Return,Red-Haired Ghost's disciple - demonic cultivator killed by Zhong Qing
红毛老鬼,Red-Haired Ghost,character_name,10000x Return,Moon Profound demonic cultivator - Xue Kuang's master
飞刀门,Flying Saber Sect,organization,10000x Return,Sect that betrayed Su Ye despite life debt
天岳城,Heavenly Peak City,location,10000x Return,City where Flying Saber Sect held recruitment
苏叶,Su Ye,character_name,10000x Return,Zhong Qing's second disciple with Calamity-Tribulation Physique
天难厄体,Calamity-Tribulation Physique,cultivation_term,10000x Return,Su Ye's innate physique - contains deadly poison in every cell
厄渊,Abyss of Calamity,technique,10000x Return,Imperial-grade cultivation method for Calamity-Tribulation Physique
同级碾压,Absolute Suppression,cultivation_term,10000x Return,Ability to instantly kill any cultivator at same level or below
雷宁,Lei Ning,character_name,10000x Return,Divine Tiger Peak Master - bald and straightforward
神虎峰,Divine Tiger Peak,location,10000x Return,Peak in Immortal River Sect led by Lei Ning
天澜国,Heavenly Wave Kingdom,location,10000x Return,Kingdom in the Eastern Region
奉天城,Heaven's Mandate City,location,10000x Return,City in Heavenly Wave Kingdom where Lin family resides
林寒义,Lin Hanyi,character_name,10000x Return,Lin Feng's father and Lin family head
白辰,Bai Chen,character_name,10000x Return,City Lord of Heaven's Mandate City
冷凝,Leng Ning,character_name,10000x Return,White-robed woman from Myriad Dao Mountain - Star Profound peak
青鸟,Qingniao,character_name,10000x Return,Blue-robed woman from Myriad Dao Mountain - Star Profound peak
万道山,Myriad Dao Mountain,organization,10000x Return,Sect specializing in formations and auxiliary arts
慕容家,Murong Family,organization,10000x Return,Family that broke engagement with Lin Feng
慕容雪,Murong Xue,character_name,10000x Return,Lin Feng's ex-fiancée from Murong family
慕容海,Murong Hai,character_name,10000x Return,Murong Xue's father and Murong family head
天云宗,Heavenly Cloud Sect,organization,10000x Return,Sect where Murong Xue resides
黑白,Heibai,character_name,10000x Return,Zhong Qing's Moon Profound puppet servant
小世界,Small World,cultivation_term,10000x Return,Personal pocket dimension - system reward for slaying demon wolf
三头妖狼,Three-Headed Demon Wolf,creature,10000x Return,Mid Moon Profound demon beast outside Heaven's Mandate City
万宝阁,Treasure Pavilion,location,10000x Return,Shop in Heaven's Mandate City
神魂雾,Soul Mist,technique,10000x Return,Technique that obscures vision and senses
天难,Heavenly Calamity,character_name,10000x Return,Demonic cultivator villain sealed 500 years ago
通星丹,Star-Piercing Pill,item,10000x Return,Pill for cultivation breakthrough
堕落之海,Sea of Degradation,location,10000x Return,Dangerous region where Heavenly Calamity was sealed
五煞阵,Five Malice Formation,technique,10000x Return,Formation used to seal Heavenly Calamity
诸葛青,Zhuge Qing,character_name,10000x Return,Sect Master of Myriad Dao Mountain
吴云,Wu Yun,character_name,10000x Return,Sect Master of Heavenly Cloud Sect
金色资质,Golden Talent,cultivation_term,10000x Return,Highest innate aptitude for cultivation
一道长老,Grand Elder,title,10000x Return,Highest elder rank in a sect
玄技,Profound Technique,cultivation_term,10000x Return,Cultivation combat skills ranked by grade
碧落剑法,Azure Sky Sword Art,technique,10000x Return,King-grade sword technique - Heavenly Cloud Sect's treasure
天罡拳,Heaven Dipper Fist,technique,10000x Return,King-grade fist technique used by Lin Feng
生死台,Life and Death Stage,location,10000x Return,Arena for life-or-death duels at Heavenly Cloud Sect
零封,Zero Seal,item,10000x Return,Zhong Qing's life-bound weapon that grows with his power
郭世杰,Guo Shijie,character_name,10000x Return,Old Ancestor of Heavenly Cloud Sect - Earth Profound cultivator
白绫,Bai Ling,character_name,10000x Return,Demoness from Northern Demon Abyss possessing a remnant soul
北魔窟,Northern Demon Abyss,location,10000x Return,Powerful demon territory far stronger than the Eastern Region
魔女,Demoness,title,10000x Return,Title for female demon cultivators of high status
万里传送符,Long-Range Teleportation Talisman,item,10000x Return,Expensive talisman for instant long-distance travel
地玄境,Earth Profound Realm,cultivation_realm,10000x Return,Eighth major cultivation realm above Sun Profound
天玄境,Sky Profound Realm,cultivation_realm,10000x Return,Ninth major cultivation realm above Earth Profound
三阴境,Three Yin Realm,cultivation_realm,10000x Return,Realm above Sky Profound with three levels
三阳境,Three Yang Realm,cultivation_realm,10000x Return,Realm above Three Yin with three levels
仙帝,Immortal Emperor,cultivation_realm,10000x Return,Highest known cultivation realm
苍宇,Cang Yu,character_name,10000x Return,Three Yin Realm cultivator who attempted to possess Zhong Qing
万源丹经,Myriad Origins Pill Scripture,item,10000x Return,Alchemy manual obtained from system check-in
美颜丹,Beauty Enhancement Pill,item,10000x Return,Pill that improves physical appearance
山宝,Mountain Treasure,item,10000x Return,Rare material nurtured by heaven and earth - also called Divine Spirit Embryo
万兽山,Myriad Beast Mountain,location,10000x Return,Dangerous mountain range filled with demonic beasts
陆青霞,Lu Qingxia,character_name,10000x Return,Sect Master of Dawn Mist Valley Holy Land
钟长风,Zhong Changfeng,character_name,10000x Return,Third Ancestor of Dawn Mist Valley trapped in Abyssal Secret Realm
深渊秘境,Abyssal Secret Realm,location,10000x Return,Secret realm where Zhong Changfeng is trapped
飞仙潭,Flying Immortal Pool,location,10000x Return,Restricted area in Dawn Mist Valley
林月霞,Lin Yuexia,character_name,10000x Return,True disciple of Dawn Mist Valley
傀儡修为升级卡,Puppet Cultivation Upgrade Card,item,10000x Return,System item that upgrades puppet to host's level
阵法免疫,Formation-Immunity,cultivation_term,10000x Return,Ability to be unaffected by formations
思过涯,Contemplation Cliff,location,10000x Return,Punishment area in Dawn Mist Valley for facing the wall in reflection
珍宝茶,Treasure Tea,item,10000x Return,Precious spiritual tea from Dawn Mist Valley that enhances aptitude and cleanses the body
桃花酿,Peach Blossom Brew,item,10000x Return,Thousand-year wine brewed by Dawn Mist Valley's Old Ancestor
醉仙酿,Drunken Immortal Brew,item,10000x Return,Alternative name for Peach Blossom Brew
古万,Gu Wan,character_name,10000x Return,Father trapped in maze formation - gives Heaven Spirit Grass to Zhong Qing
古灵儿,Gu Ling'er,character_name,10000x Return,Daughter of Gu Wan - sixteen-year-old Innate realm prodigy
双头妖猿,Two-Headed Demon Ape,creature,10000x Return,Dawn Profound mid-stage demon beast
天灵草,Heaven Spirit Grass,item,10000x Return,Rare alchemy ingredient - main material for certain pill formulas
独孤峰,Dugu Feng,character_name,10000x Return,Current Sect Master of Flying Saber Sect
百里长空,Baili Changkong,character_name,10000x Return,Founding Ancestor of Flying Saber Sect - Sun Profound powerhouse
大帝经,Emperor Scripture,item,10000x Return,Imperial-grade cultivation method representing an Emperor's path
无极宗,Infinity Sect,organization,10000x Return,Holy Land in the Eastern Region - enemy of Immortal River Sect
石啸天,Shi Xiaotian,character_name,10000x Return,Eighth Elder of Infinity Sect - alchemy master known as Old Black
吴岳,Wu Yue,character_name,10000x Return,Seventh Elder of Infinity Sect - alchemy master known as Old White
丹王,Pill King,title,10000x Return,Prestigious title for top-tier alchemists
暗卫,Shadow Guard,organization,10000x Return,Intelligence department of Infinity Sect
界破传讯符,Realm-Breaking Transmission Talisman,item,10000x Return,Talisman for sending messages across great distances
坨丹,Lump Pill,item,10000x Return,Derogatory term for poorly-refined lumpy pills
完美筑基丹,Perfect Foundation Pill,item,10000x Return,Pill that creates perfect cultivation foundation for those under 16
紫青灵炉,Violet-Azure Spirit Furnace,item,10000x Return,High-grade alchemy furnace
白常殿,White Constancy Hall,location,10000x Return,Wu Yue's palace at Infinity Sect
采天补地秘法,Heaven-Stealing Earth-Mending Secret Art,technique,10000x Return,Ancient alchemy technique for seizing heaven's essence
葛长青,Ge Changqing,character_name,10000x Return,Pill Peak Master at Immortal River Sect
五行炼丹,Five Elements Alchemy,technique,10000x Return,Lost ancient alchemy method using all five elements
古城,Gu City,location,10000x Return,City where Gu Wan's family lives
蘇訣,Su Jue,character_name,Villain Kiss,Protagonist - transmigrated into villain role
白如雪,Bai Ruxue,character_name,Villain Kiss,Sword Immortal Empress and Su Jue's master/love interest
劍仙女帝,Sword Immortal Empress,title,Villain Kiss,Bai Ruxue's title - titan of Central Region
中州,Central Region,location,Villain Kiss,Main setting region
浩土,Vast Earth,location,Villain Kiss,The world setting
劍宗,Sword Sect,organization,Villain Kiss,Sect where Su Jue and Bai Ruxue belong
生靈樹,Life Spirit Tree,item,Villain Kiss,Immortal-grade medicine that can revive the recently dead
無上劍體,Supreme Sword Physique,cultivation_term,Villain Kiss,Su Jue's innate physique for sword cultivation
劍胎之心,Sword Embryo Heart,item,Villain Kiss,System reward
誅天劍,Heaven-Slaying Sword,item,Villain Kiss,System reward weapon
